Approach,Scaler,City,RMSE,R²
Per City,RobustScaler,Chicago,7.400999405565352,-0.6105581921449883
Per City,MinMaxScaler,Chicago,7.4009994055654005,-0.6105581921450096
Per City,StandardScaler,Chicago,7.400999405565455,-0.6105581921450332
Per City,RobustScaler,Houston,29.31310480259655,-6.577831783141625
Per City,StandardScaler,Houston,29.31310480259659,-6.577831783141648
Per City,MinMaxScaler,Houston,29.313104802596676,-6.577831783141692
Per City,RobustScaler,Los Angeles,31.90391469490399,-6.088988096344195
Per City,StandardScaler,Los Angeles,31.9039146949042,-6.088988096344289
Per City,MinMaxScaler,Los Angeles,31.9039146949042,-6.088988096344289
Per City,RobustScaler,New York,17.95901800604443,-3.695484253589359
Per City,MinMaxScaler,New York,17.95901800604446,-3.695484253589374
Per City,StandardScaler,New York,17.959018006044555,-3.6954842535894237
Per City,MinMaxScaler,Phoenix,30.15455683683893,-2.0597060800058475
Per City,StandardScaler,Phoenix,30.154556836838957,-2.0597060800058533
Per City,RobustScaler,Phoenix,30.154556836839163,-2.0597060800058955
Unified,RobustScaler,All,79.69594732866157,0.3364810868663579
Unified,StandardScaler,All,79.69594732866167,0.33648108686635636
Unified,MinMaxScaler,All,79.69594732866176,0.3364810868663549
