Year,Quarter,Chicago
1990,1,6.6000000000000005
1990,2,6.3999999999999995
1990,3,6.466666666666666
1990,4,6.133333333333333
1991,1,7.166666666666667
1991,2,7.133333333333333
1991,3,7.3
1991,4,8.033333333333333
1992,1,9.0
1992,2,8.6
1992,3,7.666666666666667
1992,4,7.033333333333334
1993,1,8.333333333333334
1993,2,8.299999999999999
1993,3,7.466666666666666
1993,4,6.666666666666667
1994,1,7.3999999999999995
1994,2,6.166666666666667
1994,3,5.633333333333333
1994,4,5.1000000000000005
1995,1,5.866666666666667
1995,2,5.733333333333333
1995,3,5.366666666666667
1995,4,4.866666666666666
1996,1,5.766666666666667
1996,2,5.666666666666667
1996,3,5.333333333333333
1996,4,4.766666666666667
1997,1,5.6000000000000005
1997,2,4.8
1997,3,4.8
1997,4,4.7
1998,1,5.233333333333333
1998,2,4.333333333333333
1998,3,4.533333333333333
1998,4,4.266666666666667
1999,1,4.6000000000000005
1999,2,4.7
1999,3,4.666666666666667
1999,4,4.066666666666666
2000,1,4.733333333333333
2000,2,4.433333333333334
2000,3,4.366666666666666
2000,4,4.133333333333334
2001,1,5.566666666666666
2001,2,5.3999999999999995
2001,3,5.466666666666666
2001,4,5.8
2002,1,7.133333333333333
2002,2,7.066666666666666
2002,3,6.833333333333333
2002,4,6.633333333333333
2003,1,7.2
2003,2,6.8999999999999995
2003,3,6.8999999999999995
2003,4,6.2
2004,1,6.8
2004,2,6.3
2004,3,6.2
2004,4,5.8999999999999995
2005,1,6.633333333333333
2005,2,6.266666666666667
2005,3,5.8
2005,4,5.1
2006,1,5.3
2006,2,4.633333333333334
2006,3,4.5
2006,4,4.0
2007,1,5.066666666666666
2007,2,5.0
2007,3,5.066666666666666
2007,4,4.933333333333334
2008,1,5.866666666666667
2008,2,6.066666666666666
2008,3,6.533333333333334
2008,4,6.6000000000000005
2009,1,9.200000000000001
2009,2,9.933333333333334
2009,3,10.133333333333333
2009,4,10.5
2010,1,11.766666666666666
2010,2,10.6
2010,3,10.266666666666667
2010,4,9.533333333333333
2011,1,10.1
2011,2,10.033333333333333
2011,3,10.4
2011,4,9.6
2012,1,9.633333333333333
2012,2,9.1
2012,3,9.133333333333333
2012,4,8.799999999999999
2013,1,9.833333333333334
2013,2,9.299999999999999
2013,3,9.1
2013,4,8.4
2014,1,8.566666666666666
2014,2,7.233333333333333
2014,3,6.966666666666666
2014,4,6.166666666666667
2015,1,6.666666666666667
2015,2,5.966666666666666
2015,3,5.733333333333333
2015,4,5.666666666666667
2016,1,6.533333333333334
2016,2,5.8999999999999995
2016,3,5.766666666666667
2016,4,5.266666666666667
2017,1,5.266666666666667
2017,2,4.733333333333333
2017,3,5.066666666666666
2017,4,4.533333333333334
2018,1,4.666666666666667
2018,2,3.966666666666667
2018,3,4.066666666666666
2018,4,3.8666666666666667
2019,1,4.566666666666666
2019,2,3.8333333333333335
2019,3,3.766666666666666
2019,4,3.266666666666667
2020,1,4.733333333333333
2020,2,15.9
2020,3,10.733333333333334
2020,4,7.8999999999999995
2021,1,7.466666666666666
2021,2,6.966666666666666
2021,3,6.066666666666666
2021,4,4.3999999999999995
2022,1,4.866666666666666
2022,2,4.633333333333334
2022,3,4.766666666666667
2022,4,4.166666666666667
2023,1,4.433333333333334
2023,2,4.066666666666666
2023,3,4.733333333333333
2023,4,4.3
2024,1,5.133333333333334
2024,2,5.233333333333333
2024,3,5.5
2024,4,4.7
2025,1,5.233333333333333
2025,2,4.7
2025,3,4.9
