Year,Quarter,New York
1976,1,10.266666666666667
1976,2,10.2
1976,3,10.2
1976,4,10.166666666666666
1977,1,9.966666666666667
1977,2,9.333333333333334
1977,3,8.799999999999999
1977,4,8.5
1978,1,8.1
1978,2,7.833333333333333
1978,3,7.6000000000000005
1978,4,7.3
1979,1,7.066666666666666
1979,2,7.0
1979,3,7.133333333333333
1979,4,7.166666666666667
1980,1,7.133333333333333
1980,2,7.5
1980,3,7.566666666666666
1980,4,7.5
1981,1,7.599999999999999
1981,2,7.566666666666666
1981,3,7.433333333333334
1981,4,7.8
1982,1,8.200000000000001
1982,2,8.433333333333334
1982,3,8.799999999999999
1982,4,9.366666666666667
1983,1,9.6
1983,2,9.299999999999999
1983,3,8.766666666666667
1983,4,8.066666666666666
1984,1,7.466666666666666
1984,2,7.3
1984,3,7.266666666666667
1984,4,7.0
1985,1,6.8
1985,2,6.7
1985,3,6.533333333333334
1985,4,6.433333333333334
1986,1,6.566666666666666
1986,2,6.566666666666666
1986,3,6.1000000000000005
1986,4,5.6000000000000005
1987,1,5.166666666666667
1987,2,4.8
1987,3,4.666666666666667
1987,4,4.5
1988,1,4.133333333333333
1988,2,4.033333333333333
1988,3,4.3
1988,4,4.466666666666667
1989,1,4.566666666666666
1989,2,4.733333333333333
1989,3,4.966666666666667
1989,4,5.166666666666667
1990,1,5.133333333333333
1990,2,5.0
1990,3,5.266666666666667
1990,4,5.933333333333334
1991,1,6.7
1991,2,7.3
1991,3,7.433333333333334
1991,4,7.8
1992,1,8.433333333333334
1992,2,8.799999999999999
1992,3,8.933333333333334
1992,4,8.700000000000001
1993,1,8.266666666666667
1993,2,7.933333333333334
1993,3,7.833333333333333
1993,4,7.766666666666667
1994,1,7.533333333333334
1994,2,7.133333333333333
1994,3,6.7
1994,4,6.333333333333333
1995,1,6.166666666666667
1995,2,6.333333333333333
1995,3,6.433333333333334
1995,4,6.366666666666667
1996,1,6.3
1996,2,6.266666666666667
1996,3,6.133333333333333
1996,4,6.266666666666667
1997,1,6.533333333333334
1997,2,6.566666666666666
1997,3,6.3999999999999995
1997,4,6.166666666666667
1998,1,5.8999999999999995
1998,2,5.6000000000000005
1998,3,5.466666666666666
1998,4,5.366666666666667
1999,1,5.3
1999,2,5.3
1999,3,5.233333333333333
1999,4,4.8999999999999995
2000,1,4.633333333333333
2000,2,4.533333333333333
2000,3,4.5
2000,4,4.333333333333333
2001,1,4.2
2001,2,4.433333333333334
2001,3,5.033333333333333
2001,4,5.8
2002,1,6.266666666666667
2002,2,6.266666666666667
2002,3,6.099999999999999
2002,4,6.166666666666667
2003,1,6.333333333333333
2003,2,6.433333333333334
2003,3,6.5
2003,4,6.400000000000001
2004,1,6.266666666666667
2004,2,6.033333333333334
2004,3,5.633333333333333
2004,4,5.3
2005,1,5.066666666666666
2005,2,4.9
2005,3,4.966666666666667
2005,4,4.866666666666667
2006,1,4.733333333333333
2006,2,4.6
2006,3,4.433333333333334
2006,4,4.233333333333333
2007,1,4.2
2007,2,4.3
2007,3,4.533333333333333
2007,4,4.666666666666667
2008,1,4.733333333333333
2008,2,5.0
2008,3,5.5
2008,4,6.333333333333333
2009,1,7.5
2009,2,8.366666666666667
2009,3,8.700000000000001
2009,4,8.966666666666667
2010,1,8.966666666666667
2010,2,8.799999999999999
2010,3,8.633333333333333
2010,4,8.533333333333333
2011,1,8.299999999999999
2011,2,8.233333333333333
2011,3,8.366666666666667
2011,4,8.533333333333333
2012,1,8.666666666666666
2012,2,8.8
2012,3,8.700000000000001
2012,4,8.433333333333334
2013,1,8.200000000000001
2013,2,7.966666666666666
2013,3,7.8
2013,4,7.3
2014,1,6.833333333333333
2014,2,6.433333333333334
2014,3,6.1000000000000005
2014,4,5.8
2015,1,5.633333333333333
2015,2,5.3999999999999995
2015,3,5.0
2015,4,4.833333333333333
2016,1,4.8
2016,2,4.833333333333333
2016,3,4.966666666666667
2016,4,4.8999999999999995
2017,1,4.633333333333333
2017,2,4.6
2017,3,4.7
2017,4,4.633333333333333
2018,1,4.3999999999999995
2018,2,4.1000000000000005
2018,3,3.9
2018,4,4.0
2019,1,3.9333333333333336
2019,2,3.7999999999999994
2019,3,3.8666666666666667
2019,4,3.966666666666667
2020,1,4.166666666666667
2020,2,15.333333333333334
2020,3,11.200000000000001
2020,4,8.933333333333332
2021,1,8.366666666666667
2021,2,7.633333333333333
2021,3,6.7
2021,4,5.633333333333333
2022,1,4.866666666666666
2022,2,4.333333333333333
2022,3,3.9
2022,4,4.066666666666666
2023,1,4.0
2023,2,3.9
2023,3,4.066666666666666
2023,4,4.2
2024,1,4.166666666666667
2024,2,4.266666666666667
2024,3,4.4
2024,4,4.4
2025,1,4.3
2025,2,4.066666666666666
2025,3,4.0
