Year,Quarter,Chicago,Houston,Phoenix,Los Angeles,New York
1990,1,6.6000000000000005,5.0,4.3999999999999995,5.0,5.133333333333333
1990,2,6.3999999999999995,5.0,4.3999999999999995,4.9,5.0
1990,3,6.466666666666666,5.366666666666667,4.533333333333334,5.633333333333333,5.266666666666667
1990,4,6.133333333333333,5.1000000000000005,4.066666666666666,5.766666666666667,5.933333333333334
1991,1,7.166666666666667,5.5,4.266666666666667,6.833333333333333,6.7
1991,2,7.133333333333333,5.6000000000000005,4.5,7.266666666666667,7.3
1991,3,7.3,5.966666666666666,5.566666666666666,7.8999999999999995,7.433333333333334
1991,4,8.033333333333333,5.8999999999999995,6.1000000000000005,7.7,7.8
1992,1,9.0,7.0,7.133333333333333,8.6,8.433333333333334
1992,2,8.6,7.266666666666666,6.533333333333334,8.833333333333334,8.799999999999999
1992,3,7.666666666666667,7.633333333333333,6.566666666666666,9.833333333333334,8.933333333333334
1992,4,7.033333333333334,7.2,6.033333333333334,9.333333333333334,8.700000000000001
1993,1,8.333333333333334,7.633333333333333,5.766666666666667,9.766666666666667,8.266666666666667
1993,2,8.299999999999999,7.5,4.933333333333334,9.233333333333333,7.933333333333334
1993,3,7.466666666666666,7.566666666666667,4.933333333333334,9.4,7.833333333333333
1993,4,6.666666666666667,7.066666666666666,4.633333333333333,8.766666666666667,7.766666666666667
1994,1,7.3999999999999995,7.266666666666667,5.0,9.266666666666666,7.533333333333334
1994,2,6.166666666666667,6.8999999999999995,4.533333333333333,8.6,7.133333333333333
1994,3,5.633333333333333,6.833333333333333,4.866666666666667,8.633333333333333,6.7
1994,4,5.1000000000000005,5.8999999999999995,4.1000000000000005,7.266666666666667,6.333333333333333
1995,1,5.866666666666667,5.8999999999999995,3.8333333333333335,7.266666666666667,6.166666666666667
1995,2,5.733333333333333,6.066666666666666,3.6,7.166666666666667,6.333333333333333
1995,3,5.366666666666667,6.333333333333333,3.766666666666667,7.833333333333333,6.433333333333334
1995,4,4.866666666666666,5.633333333333333,3.3333333333333335,7.266666666666667,6.366666666666667
1996,1,5.766666666666667,5.833333333333333,3.6999999999999997,7.8,6.3
1996,2,5.666666666666667,5.633333333333333,3.6333333333333333,7.366666666666667,6.266666666666667
1996,3,5.333333333333333,5.566666666666666,4.033333333333333,7.333333333333333,6.133333333333333
1996,4,4.766666666666667,5.233333333333333,3.5,6.566666666666666,6.266666666666667
1997,1,5.6000000000000005,5.866666666666667,3.533333333333333,6.7,6.533333333333334
1997,2,4.8,5.533333333333334,2.966666666666667,6.0,6.566666666666666
1997,3,4.8,5.433333333333334,3.0,6.2,6.3999999999999995
1997,4,4.7,4.466666666666667,2.6999999999999997,5.333333333333333,6.166666666666667
1998,1,5.233333333333333,4.6000000000000005,2.9,5.7,5.8999999999999995
1998,2,4.333333333333333,4.5,2.5,5.433333333333334,5.6000000000000005
1998,3,4.533333333333333,4.7,2.966666666666667,6.133333333333333,5.466666666666666
1998,4,4.266666666666667,4.033333333333333,2.8333333333333335,5.533333333333334,5.366666666666667
1999,1,4.6000000000000005,4.3999999999999995,3.266666666666667,5.3999999999999995,5.3
1999,2,4.7,4.866666666666667,3.1666666666666665,4.833333333333333,5.3
1999,3,4.666666666666667,5.233333333333333,3.1666666666666665,5.3999999999999995,5.233333333333333
1999,4,4.066666666666666,4.7,2.8333333333333335,4.8,4.8999999999999995
2000,1,4.733333333333333,4.833333333333333,3.466666666666667,5.166666666666667,4.633333333333333
2000,2,4.433333333333334,4.366666666666666,3.1666666666666665,4.933333333333334,4.533333333333333
2000,3,4.366666666666666,4.466666666666666,3.5,5.266666666666667,4.5
2000,4,4.133333333333334,3.633333333333333,3.0666666666666664,4.433333333333334,4.333333333333333
2001,1,5.566666666666666,4.033333333333333,3.533333333333333,4.7,4.2
2001,2,5.3999999999999995,4.366666666666666,3.633333333333333,4.766666666666667,4.433333333333334
2001,3,5.466666666666666,5.0,4.5,5.666666666666667,5.033333333333333
2001,4,5.8,5.066666666666666,5.133333333333333,5.933333333333334,5.8
2002,1,7.133333333333333,5.766666666666667,5.8,6.466666666666666,6.266666666666667
2002,2,7.066666666666666,6.1000000000000005,5.8,6.3999999999999995,6.266666666666667
2002,3,6.833333333333333,6.266666666666667,5.833333333333333,6.633333333333333,6.099999999999999
2002,4,6.633333333333333,6.0,5.533333333333334,6.133333333333333,6.166666666666667
2003,1,7.2,6.733333333333333,5.566666666666666,6.433333333333334,6.333333333333333
2003,2,6.8999999999999995,7.0,5.3999999999999995,6.466666666666666,6.433333333333334
2003,3,6.8999999999999995,7.1000000000000005,5.533333333333334,6.8,6.5
2003,4,6.2,6.333333333333333,4.733333333333333,6.166666666666667,6.400000000000001
2004,1,6.8,6.533333333333334,4.933333333333334,6.266666666666667,6.266666666666667
2004,2,6.3,6.266666666666667,4.5,6.033333333333334,6.033333333333334
2004,3,6.2,6.166666666666667,4.433333333333334,6.0,5.633333333333333
2004,4,5.8999999999999995,5.866666666666667,3.9,5.433333333333334,5.3
2005,1,6.633333333333333,5.8999999999999995,4.133333333333333,5.366666666666667,5.066666666666666
2005,2,6.266666666666667,5.366666666666667,4.033333333333333,4.833333333333333,4.9
2005,3,5.8,5.733333333333333,4.266666666666667,4.866666666666666,4.966666666666667
2005,4,5.1,5.733333333333333,3.9,4.6000000000000005,4.866666666666667
2006,1,5.3,5.566666666666666,3.8333333333333335,4.633333333333334,4.733333333333333
2006,2,4.633333333333334,5.233333333333333,3.6666666666666665,4.3,4.6
2006,3,4.5,5.066666666666666,3.8666666666666667,4.666666666666667,4.433333333333334
2006,4,4.0,4.3,3.4,4.033333333333333,4.233333333333333
2007,1,5.066666666666666,4.5,3.3666666666666667,4.566666666666666,4.2
2007,2,5.0,4.133333333333334,2.9333333333333336,4.3999999999999995,4.3
2007,3,5.066666666666666,4.433333333333334,3.1666666666666665,5.1000000000000005,4.533333333333333
2007,4,4.933333333333334,4.1000000000000005,3.4,5.033333333333334,4.666666666666667
2008,1,5.866666666666667,4.333333333333333,3.8333333333333335,5.633333333333333,4.733333333333333
2008,2,6.066666666666666,4.333333333333333,4.3999999999999995,6.2,5.0
2008,3,6.533333333333334,5.066666666666666,5.833333333333333,7.7,5.5
2008,4,6.6000000000000005,5.266666666666667,6.5,8.333333333333334,6.333333333333333
2009,1,9.200000000000001,6.3,8.1,10.233333333333333,7.5
2009,2,9.933333333333334,7.2,8.799999999999999,10.666666666666666,8.366666666666667
2009,3,10.133333333333333,8.6,9.8,11.699999999999998,8.700000000000001
2009,4,10.5,8.299999999999999,9.666666666666666,11.4,8.966666666666667
2010,1,11.766666666666666,8.633333333333333,10.033333333333333,12.133333333333333,8.966666666666667
2010,2,10.6,8.233333333333333,9.533333333333333,11.666666666666666,8.799999999999999
2010,3,10.266666666666667,8.4,9.766666666666667,12.233333333333334,8.633333333333333
2010,4,9.533333333333333,8.200000000000001,9.1,11.799999999999999,8.533333333333333
2011,1,10.1,8.4,9.0,11.700000000000001,8.299999999999999
2011,2,10.033333333333333,8.233333333333334,8.633333333333333,11.4,8.233333333333333
2011,3,10.4,8.466666666666667,8.933333333333334,11.966666666666667,8.366666666666667
2011,4,9.6,7.3,8.0,10.933333333333332,8.533333333333333
2012,1,9.633333333333333,7.0,7.7,10.766666666666666,8.666666666666666
2012,2,9.1,6.633333333333333,7.3999999999999995,10.133333333333333,8.8
2012,3,9.133333333333333,6.666666666666667,7.666666666666667,10.366666666666667,8.700000000000001
2012,4,8.799999999999999,6.033333333333334,6.8999999999999995,9.466666666666667,8.433333333333334
2013,1,9.833333333333334,6.433333333333334,7.0,9.6,8.200000000000001
2013,2,9.299999999999999,6.166666666666667,6.8,9.033333333333333,7.966666666666666
2013,3,9.1,6.2,7.066666666666666,9.333333333333334,7.8
2013,4,8.4,5.533333333333334,6.233333333333333,8.333333333333334,7.3
2014,1,8.566666666666666,5.5,6.166666666666667,8.1,6.833333333333333
2014,2,7.233333333333333,4.966666666666666,5.8,7.333333333333333,6.433333333333334
2014,3,6.966666666666666,5.233333333333333,6.2,7.933333333333333,6.1000000000000005
2014,4,6.166666666666667,4.366666666666666,5.533333333333334,7.033333333333334,5.8
2015,1,6.666666666666667,4.533333333333334,5.366666666666667,6.866666666666667,5.633333333333333
2015,2,5.966666666666666,4.433333333333334,5.233333333333333,6.333333333333333,5.3999999999999995
2015,3,5.733333333333333,4.866666666666666,5.466666666666666,6.133333333333333,5.0
2015,4,5.666666666666667,4.7,4.933333333333334,5.3,4.833333333333333
2016,1,6.533333333333334,4.933333333333334,4.766666666666667,5.066666666666666,4.8
2016,2,5.8999999999999995,5.066666666666666,4.766666666666667,4.8,4.833333333333333
2016,3,5.766666666666667,5.7,4.8999999999999995,5.333333333333333,4.966666666666667
2016,4,5.266666666666667,5.266666666666667,4.3999999999999995,4.733333333333333,4.8999999999999995
2017,1,5.266666666666667,5.6000000000000005,4.466666666666667,4.7,4.633333333333333
2017,2,4.733333333333333,4.933333333333334,4.266666666666667,4.3,4.6
2017,3,5.066666666666666,5.0,4.366666666666667,4.833333333333333,4.7
2017,4,4.533333333333334,4.433333333333334,4.0,4.1000000000000005,4.633333333333333
2018,1,4.666666666666667,4.733333333333333,4.2,4.3,4.3999999999999995
2018,2,3.966666666666667,4.3,4.033333333333333,4.066666666666666,4.1000000000000005
2018,3,4.066666666666666,4.366666666666667,4.3,4.5,3.9
2018,4,3.8666666666666667,3.8333333333333335,4.1000000000000005,4.066666666666666,4.0
2019,1,4.566666666666666,4.1000000000000005,4.333333333333333,4.266666666666667,3.9333333333333336
2019,2,3.8333333333333335,3.5666666666666664,4.166666666666667,3.866666666666667,3.7999999999999994
2019,3,3.766666666666666,3.9333333333333336,4.233333333333333,4.3,3.8666666666666667
2019,4,3.266666666666667,3.533333333333333,3.8000000000000003,3.9,3.966666666666667
2020,1,4.733333333333333,4.5,4.233333333333333,4.966666666666666,4.166666666666667
2020,2,15.9,12.533333333333333,10.9,16.900000000000002,15.333333333333334
2020,3,10.733333333333334,9.666666666666666,7.933333333333334,14.4,11.200000000000001
2020,4,7.8999999999999995,7.566666666666666,6.066666666666666,9.833333333333334,8.933333333333332
2021,1,7.466666666666666,7.466666666666666,5.766666666666667,9.833333333333334,8.366666666666667
2021,2,6.966666666666666,6.633333333333333,5.233333333333333,9.133333333333333,7.633333333333333
2021,3,6.066666666666666,6.033333333333334,4.366666666666666,8.0,6.7
2021,4,4.3999999999999995,4.766666666666667,3.0666666666666664,6.0,5.633333333333333
2022,1,4.866666666666666,4.6000000000000005,3.1666666666666665,5.366666666666667,4.866666666666666
2022,2,4.633333333333334,4.066666666666666,3.3333333333333335,4.366666666666666,4.333333333333333
2022,3,4.766666666666667,4.233333333333333,3.6333333333333333,4.333333333333333,3.9
2022,4,4.166666666666667,4.0,3.1333333333333333,4.166666666666667,4.066666666666666
2023,1,4.433333333333334,4.3999999999999995,3.0666666666666664,4.566666666666666,4.0
2023,2,4.066666666666666,4.066666666666666,3.233333333333333,4.333333333333333,3.9
2023,3,4.733333333333333,4.3999999999999995,3.533333333333333,5.066666666666666,4.066666666666666
2023,4,4.3,3.9333333333333336,3.1,4.733333333333333,4.2
2024,1,5.133333333333334,4.266666666666667,2.9,5.033333333333334,4.166666666666667
2024,2,5.233333333333333,4.133333333333334,3.0,5.033333333333333,4.266666666666667
2024,3,5.5,4.733333333333333,3.6,5.933333333333334,4.4
2024,4,4.7,4.233333333333333,3.266666666666667,5.3999999999999995,4.4
2025,1,5.233333333333333,4.366666666666667,3.5666666666666664,5.3,4.3
2025,2,4.7,4.133333333333334,3.6,5.133333333333333,4.066666666666666
2025,3,4.9,4.5,4.1,6.0,4.0
