City,Year,Quarter,index_nsa,Median Household Income,Total Population,INDPRO,VIXCLS,CPI,Unemployment Rate,City GDP
Chicago,1990,1,83.83,26301.0,2784000.0,62.1073,22.1684375,5.397953510284424,6.6000000000000005,111637781.52416313
Chicago,1990,2,84.81,26301.0,2784000.0,62.54476666666667,18.735384615384614,5.397953510284424,6.3999999999999995,114954523.11638534
Chicago,1990,3,85.8,26301.0,2784000.0,62.79926666666666,25.13446153846154,5.397953510284424,6.466666666666666,117046804.55090547
Chicago,1990,4,85.87,26301.0,2784000.0,61.83443333333333,26.005909090909093,5.397953510284424,6.133333333333333,116652450.82351255
Chicago,1991,1,86.95,26584.1,2784500.0,60.673399999999994,22.42734375,4.2349629402160645,7.166666666666667,117896180.46704328
Chicago,1991,2,87.74,26867.2,2785000.0,61.020833333333336,17.120923076923077,4.2349629402160645,7.133333333333333,121465810.90146458
Chicago,1991,3,88.48,27150.3,2785500.0,61.8953,16.651742424242425,4.2349629402160645,7.3,124556542.54471791
Chicago,1991,4,89.77,27433.4,2786000.0,62.0224,17.465833333333332,4.2349629402160645,8.033333333333333,126869733.06236315
Chicago,1992,1,90.52,27716.5,2787000.0,61.94726666666667,17.589307692307692,3.028822660446167,9.0,130788001.71264791
Chicago,1992,2,91.17,27999.6,2788000.0,63.069700000000005,15.593,3.028822660446167,8.6,135051856.85677338
Chicago,1992,3,92.14,28282.7,2789000.0,63.56613333333333,13.90030303030303,3.028822660446167,7.666666666666667,138868185.277421
Chicago,1992,4,92.91,28565.8,2790000.0,64.2135,14.684015151515151,3.028822660446167,7.033333333333334,143378953.02693808
Chicago,1993,1,93.66,28848.9,2790500.0,64.8008,13.263515625,2.951657295227051,8.333333333333334,145314349.40739965
Chicago,1993,2,94.42,29132.0,2791000.0,64.93016666666666,12.973230769230769,2.951657295227051,8.299999999999999,148420463.23880613
Chicago,1993,3,95.34,29415.1,2791500.0,65.17706666666668,12.123181818181818,2.951657295227051,7.466666666666666,151286500.99288893
Chicago,1993,4,96.12,29698.2,2792000.0,66.19523333333333,12.397121212121213,2.951657295227051,6.666666666666667,156373688.73557496
Chicago,1994,1,97.35,29981.3,2793250.0,67.01046666666667,13.44671875,2.6074390411376953,7.3999999999999995,160462972.17189193
Chicago,1994,2,98.45,30264.4,2794500.0,68.23423333333334,14.59776923076923,2.6074390411376953,6.166666666666667,165667559.2010908
Chicago,1994,3,99.07,30547.5,2795750.0,69.10446666666667,12.53371212121212,2.6074390411376953,5.633333333333333,169081925.39424372
Chicago,1994,4,99.16,30830.6,2797000.0,70.50456666666666,15.258461538461537,2.6074390411376953,5.1000000000000005,174018140.71605957
Chicago,1995,1,100.0,31113.7,2798250.0,71.23963333333333,12.017307692307693,2.805418014526367,5.866666666666667,176781403.57215214
Chicago,1995,2,101.44,31396.8,2799500.0,71.46206666666667,12.188538461538462,2.805418014526367,5.733333333333333,179229692.38786423
Chicago,1995,3,102.6,31679.9,2800750.0,72.15333333333334,12.447461538461539,2.805418014526367,5.366666666666667,183327103.69643986
Chicago,1995,4,103.52,31963.0,2802000.0,72.73813333333334,12.861846153846153,2.805418014526367,4.866666666666666,186943413.33258104
Chicago,1996,1,104.64,32246.1,2805000.0,73.23533333333334,15.362,2.9312081336975098,5.766666666666667,191109521.20503616
Chicago,1996,2,104.76,32529.2,2808000.0,74.81196666666666,16.382769230769227,2.9312081336975098,5.666666666666667,197876928.00739026
Chicago,1996,3,105.0,32812.3,2811000.0,75.78656666666667,16.768333333333334,2.9312081336975098,5.333333333333333,202145052.07090533
Chicago,1996,4,106.04,33095.4,2814000.0,76.83006666666667,17.225530303030304,2.9312081336975098,4.766666666666667,207544811.43324292
Chicago,1997,1,107.06,33378.5,2812500.0,78.28623333333333,19.942265625,2.3376882076263428,5.6000000000000005,211190198.30738246
Chicago,1997,2,107.61,33661.6,2811000.0,79.40383333333334,19.904461538461536,2.3376882076263428,4.8,216859425.37393844
Chicago,1997,3,108.74,33944.7,2809500.0,81.2606,22.418181818181818,2.3376882076263428,4.8,222066351.22024727
Chicago,1997,4,109.94,34227.8,2808000.0,83.32553333333334,27.166212121212123,2.3376882076263428,4.7,225719334.23668456
Chicago,1998,1,110.76,34510.9,2806750.0,84.26833333333333,21.351015625,1.5522807836532593,5.233333333333333,229320651.1276927
Chicago,1998,2,111.41,34794.0,2805500.0,84.83383333333333,21.528153846153845,1.5522807836532593,4.333333333333333,233022464.9813013
Chicago,1998,3,112.67,35077.1,2804250.0,85.47613333333334,29.74037878787879,1.5522807836532593,4.533333333333333,238554151.53375077
Chicago,1998,4,113.42,35360.2,2803000.0,86.65466666666667,29.3180303030303,1.5522807836532593,4.266666666666667,244902271.4603734
Chicago,1999,1,114.65,35643.3,2802000.0,87.61966666666666,27.2915625,2.1880264282226562,4.6000000000000005,249197445.61177468
Chicago,1999,2,116.29,35926.4,2801000.0,88.44893333333334,24.385384615384616,2.1880264282226562,4.7,253372486.77273536
Chicago,1999,3,118.6,36209.5,2800000.0,89.24696666666667,23.248863636363637,2.1880264282226562,4.666666666666667,259290386.82251525
Chicago,1999,4,120.21,36492.6,2799000.0,90.83403333333332,22.62909090909091,2.1880264282226562,4.066666666666666,267226088.13158464
Chicago,2000,1,123.05,36775.7,2823250.0,91.7389,23.15353846153846,3.3768539428710938,4.733333333333333,275339734.2992611
Chicago,2000,2,125.69,37058.8,2847500.0,92.86746666666666,24.936384615384615,3.3768539428710938,4.433333333333334,288904789.9677017
Chicago,2000,3,128.08,37341.9,2871750.0,92.80366666666667,19.181846153846152,3.3768539428710938,4.366666666666666,295819574.9772198
Chicago,2000,4,129.82,37625.0,2896000.0,92.5487,26.06223076923077,3.3768539428710938,4.133333333333334,304524542.8420725
Chicago,2001,1,131.59,37803.775,2895750.0,91.41146666666667,25.71976923076923,2.826171636581421,5.566666666666666,400104424.0
Chicago,2001,2,134.17,37982.55,2895500.0,90.26006666666666,23.919923076923077,2.826171636581421,5.3999999999999995,400104424.0
Chicago,2001,3,137.27,38161.325,2895250.0,89.02236666666666,25.99276923076923,2.826171636581421,5.466666666666666,400104424.0
Chicago,2001,4,138.87,38340.1,2895000.0,88.04763333333334,27.763863636363634,2.826171636581421,5.8,400104424.0
Chicago,2002,1,141.67,38518.875,2892000.0,88.68256666666666,21.397421875,1.5860344171524048,7.133333333333333,409176653.0
Chicago,2002,2,144.75,38697.65,2889000.0,90.05303333333332,21.611769230769234,1.5860344171524048,7.066666666666666,409176653.0
Chicago,2002,3,147.15,38876.425,2886000.0,90.61046666666668,34.98409090909091,1.5860344171524048,6.833333333333333,409176653.0
Chicago,2002,4,149.08,39055.2,2883000.0,90.56136666666667,30.618409090909093,1.5860344171524048,6.633333333333333,409176653.0
Chicago,2003,1,150.93,39233.975,2879750.0,91.12933333333335,29.951484375,2.270094156265259,7.2,422310363.0
Chicago,2003,2,152.79,39412.75,2876500.0,90.45023333333334,21.50423076923077,2.270094156265259,6.8999999999999995,422310363.0
Chicago,2003,3,155.22,39591.525,2873250.0,91.05403333333334,19.318787878787877,2.270094156265259,6.8999999999999995,422310363.0
Chicago,2003,4,160.87,39770.3,2870000.0,91.93486666666666,17.40409090909091,2.270094156265259,6.2,422310363.0
Chicago,2004,1,162.94,39949.075,2865500.0,92.5877,16.640923076923077,2.6772384643554688,6.8,447719689.0
Chicago,2004,2,167.26,40127.85,2861000.0,93.1151,16.19969230769231,2.6772384643554688,6.3,447719689.0
Chicago,2004,3,174.39,40306.625,2856500.0,93.63853333333333,15.423560606060606,2.6772384643554688,6.2,447719689.0
Chicago,2004,4,176.95,40485.4,2852000.0,94.97083333333335,13.608030303030302,2.6772384643554688,5.8999999999999995,447719689.0
Chicago,2005,1,181.18,40664.175,2846250.0,96.29463333333332,12.784453125,3.39274525642395,6.633333333333333,473543324.0
Chicago,2005,2,186.7,40842.95,2840500.0,96.83603333333333,13.39676923076923,3.39274525642395,6.266666666666667,473543324.0
Chicago,2005,3,191.07,41021.725,2834750.0,96.42483333333332,12.255151515151516,3.39274525642395,5.8,473543324.0
Chicago,2005,4,195.62,41200.5,2829000.0,97.305,12.724461538461538,3.39274525642395,5.1,473543324.0
Chicago,2006,1,198.75,41379.275,2824750.0,98.229,12.031,3.2259416580200195,5.3,501765019.0
Chicago,2006,2,201.22,41558.05,2820500.0,98.80993333333333,14.526923076923078,3.2259416580200195,4.633333333333334,501765019.0
Chicago,2006,3,203.18,41736.825,2816250.0,99.20146666666666,13.587615384615386,3.2259416580200195,4.5,501765019.0
